query,sql
total Quality Education by region?,"SELECT sum(quality_education), region FROM spi_index_labelled_vFinal GROUP BY region"
What is the maximum of Legislation and governance in Sub-Saharan Africa in 2017.,SELECT max(legislation_and_governance) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2017
Show me Download Options Score of Guyana in 2008?,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Guyana' AND date = 2008
Countries having Data Sources Score between 36 and 57?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 36 AND data_sources_score < 57
Countries having Metadata Available Score between 0.3 and 0.9 in 2013,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.3 AND metadata_available_score < 0.9 AND date = 2013
Countries having Data Products Score between 7 and 25.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 7 AND data_products_score < 25
List of Non_Proprietary format Score and SPI Overall Score of Marshall Islands since 2009?,"SELECT non_proprietary_format_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Marshall Islands'"
SPI Overall Score of Turkmenistan in 2018.,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Turkmenistan' AND date = 2018
count of Surveys only in East Asia & Pacific in 2014,SELECT count(surveys_only) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2014
Find the average of Safely Managed Drinking Water in Sub-Saharan Africa in 2005?,SELECT avg(safely_managed_drinking_water) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2005
total of Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1.,SELECT sum(finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1) FROM spi_index_labelled_vFinal
What is the maximum NADA metadata by region.,"SELECT max(nada_metadata), region FROM spi_index_labelled_vFinal GROUP BY region"
Machine Readability Score of Belize in 2019?,SELECT machine_readability_score FROM spi_index_labelled_vFinal WHERE country = 'Belize' AND date = 2019
Data Sources Score and SPI Overall Score of Ukraine since 2009?,"SELECT data_sources_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Ukraine'"
Countries having ODIN Open Data Openness Score between 0.0 and 0.3?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.3
count of Classification of status of employment in East Asia & Pacific,SELECT count(classification_of_status_of_employment) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
Find the Countries having Data Sources Score between 10 and 28 in 2010?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 10 AND data_sources_score < 28 AND date = 2010
count of population in Middle East & North Africa in 2019,SELECT count(population) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2019
minimum Institutional Statistics by region?,"SELECT min(institutional_statistics), region FROM spi_index_labelled_vFinal GROUP BY region"
Online access of Comoros before 2016?,SELECT online_access FROM spi_index_labelled_vFinal WHERE date < 2016 AND country = 'Comoros'
List Data Infrastructure Score of Mozambique in 2014?,SELECT data_infrastructure_score FROM spi_index_labelled_vFinal WHERE country = 'Mozambique' AND date = 2014
total of Zero Hunger in 2006,SELECT sum(zero_hunger) FROM spi_index_labelled_vFinal WHERE date = 2006
Show me count Labor Force Survey by region.,"SELECT count(labor_force_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
Sustainable Cities and Communities of Mexico in 2013.,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE country = 'Mexico' AND date = 2013
minimum of Geospatial Data.,SELECT min(geospatial_data) FROM spi_index_labelled_vFinal
Business/establishment survey of Cyprus before 2015.,SELECT business/establishment_survey FROM spi_index_labelled_vFinal WHERE date < 2015 AND country = 'Cyprus'
Countries having SPI Overall Score between 51 and 69 in 2013,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 51 AND spi_overall_score < 69 AND date = 2013
count of Responsible Consumption and Production.,SELECT count(responsible_consumption_and_production) FROM spi_index_labelled_vFinal
Business process of Georgia before 2014?,SELECT business_process FROM spi_index_labelled_vFinal WHERE date < 2014 AND country = 'Georgia'
Show me NADA metadata of Singapore before 2009?,SELECT nada_metadata FROM spi_index_labelled_vFinal WHERE date < 2009 AND country = 'Singapore'
Tell me the Machine Readability Score of Paraguay in 2004?,SELECT machine_readability_score FROM spi_index_labelled_vFinal WHERE country = 'Paraguay' AND date = 2004
Countries having Metadata Available Score between 0.2 and 0.3 in 2006.,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.2 AND metadata_available_score < 0.3 AND date = 2006
Censuses only and Life on Land of Luxembourg since 2012,"SELECT censuses_only , life_on_land FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Luxembourg'"
Countries having ODIN Open Data Openness Score between 0.4 and 0.9?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.4 AND odin_open_data_openness_score < 0.9
Tell me the maximum of Agriculture census in East Asia & Pacific.,SELECT max(agriculture_census) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
Central government accounting status of Colombia in 2011?,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE country = 'Colombia' AND date = 2011
What is the Decent Work and Economic Growth and Social Statistics of China since 2012.,"SELECT decent_work_and_economic_growth , social_statistics FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'China'"
List of average of CPI base year in Latin America & Caribbean in 2004.,SELECT avg(cpi_base_year) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2004
List of Geospatial Data of Tonga before 2013,SELECT geospatial_data FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Tonga'
"What is the iso3c and Industry, Innovation and Infrastructure of Croatia since 2017.","SELECT iso3c , industry_innovation_and_infrastructure FROM spi_index_labelled_vFinal WHERE date > 2017 AND country = 'Croatia'"
Top 37 countries by Population & Housing census?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'population_&_housing_census' DESC LIMIT 37
Gender Equality and Population & Housing census of Lao PDR since 2010?,"SELECT gender_equality , population_&_housing_census FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Lao PDR'"
Data Service Score and Terms of Use Score of Sweden since 2014?,"SELECT data_service_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Sweden'"
Countries having Data Use Score between 1 and 2 in 2015.,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 1 AND data_use_score < 2 AND date = 2015
total of Institutional Statistics?,SELECT sum(institutional_statistics) FROM spi_index_labelled_vFinal
Decent Work and Economic Growth of Kosovo before 2016?,SELECT decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date < 2016 AND country = 'Kosovo'
Countries having Non_Proprietary format Score between 0.0 and 0.1 in 2015.,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.1 AND date = 2015
total of income in Middle East & North Africa in 2006.,SELECT sum(income) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2006
minimum of Data use by international organizations?,SELECT min(data_use_by_international_organizations) FROM spi_index_labelled_vFinal
Environmental Statistics of Nepal in 2019?,SELECT environmental_statistics FROM spi_index_labelled_vFinal WHERE country = 'Nepal' AND date = 2019
What is the Geospatial data available at 1st Admin Level of Turks and Caicos Islands before 2007?,SELECT geospatial_data_available_at_1st_admin_level FROM spi_index_labelled_vFinal WHERE date < 2007 AND country = 'Turks and Caicos Islands'
Countries having ODIN Open Data Openness Score between 0.8 and 0.9 in 2005.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.8 AND odin_open_data_openness_score < 0.9 AND date = 2005
Countries having Metadata Available Score between 0.4 and 0.8 in 2012?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.4 AND metadata_available_score < 0.8 AND date = 2012
Data Products Score and ODIN Open Data Openness Score of India since 2004?,"SELECT data_products_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2004 AND country = 'India'"
Social Statistics of Denmark after 2012.,SELECT social_statistics FROM spi_index_labelled_vFinal WHERE date > 2012 AND country ='Denmark'
List of Decent Work and Economic Growth of Ukraine before 2009?,SELECT decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date < 2009 AND country = 'Ukraine'
Geospatial data available at 1st Admin Level of Timor-Leste after 2006.,SELECT geospatial_data_available_at_1st_admin_level FROM spi_index_labelled_vFinal WHERE date > 2006 AND country ='Timor-Leste'
"minimum of Industry, Innovation and Infrastructure in South Asia in 2011?",SELECT min(industry_innovation_and_infrastructure) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2011
Show me count Good Health and Well-being by region?,"SELECT count(good_health_and_well-being), region FROM spi_index_labelled_vFinal GROUP BY region"
System of national accounts in use of Greece before 2016,SELECT system_of_national_accounts_in_use FROM spi_index_labelled_vFinal WHERE date < 2016 AND country = 'Greece'
average of Gender Equality in Europe & Central Asia in 2013,SELECT avg(gender_equality) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2013
count of Online access in Middle East & North Africa in 2007,SELECT count(online_access) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2007
Find the minimum of Affordable and Clean Energy?,SELECT min(affordable_and_clean_energy) FROM spi_index_labelled_vFinal
Countries having Data Products Score between 2 and 2 in 2005?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 2 AND data_products_score < 2 AND date = 2005
Download Options Score and Non_Proprietary format Score of Uzbekistan since 2008.,"SELECT download_options_score , non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Uzbekistan'"
What is the Countries having ODIN Open Data Openness Score between 0.3 and 0.4.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.3 AND odin_open_data_openness_score < 0.4
Countries having Machine Readability Score between 0.1 and 0.2.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.2
Censuses only of Cuba before 2015?,SELECT censuses_only FROM spi_index_labelled_vFinal WHERE date < 2015 AND country = 'Cuba'
List Clean Water and Sanitation of Colombia before 2016,SELECT clean_water_and_sanitation FROM spi_index_labelled_vFinal WHERE date < 2016 AND country = 'Colombia'
maximum of Sustainable Cities and Communities in South Asia,SELECT max(sustainable_cities_and_communities) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
Tell me the Countries having Terms of Use Score between 0.5 and 0.9 in 2015.,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.5 AND terms_of_use_score < 0.9 AND date = 2015
Countries having SPI Overall Score between 17 and 24?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 17 AND spi_overall_score < 24
What is the Countries having Download Options Score between 0.1 and 0.2,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.2
count of NADA metadata?,SELECT count(nada_metadata) FROM spi_index_labelled_vFinal
Peace and Justice Strong Institutions of Dominica before 2004,SELECT peace_and_justice_strong_institutions FROM spi_index_labelled_vFinal WHERE date < 2004 AND country = 'Dominica'
What is the average of Social Statistics?,SELECT avg(social_statistics) FROM spi_index_labelled_vFinal
List SDDS/e-GDDS subscription of Puerto Rico in 2008?,SELECT sdds/e-gdds_subscription FROM spi_index_labelled_vFinal WHERE country = 'Puerto Rico' AND date = 2008
minimum of Compilation of monetary and financial statistics in 2013.,SELECT min(compilation_of_monetary_and_financial_statistics) FROM spi_index_labelled_vFinal WHERE date = 2013
Top 86 countries by Health/Demographic survey?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'health/demographic_survey' DESC LIMIT 86
count of Standards and Methods in 2007,SELECT count(standards_and_methods) FROM spi_index_labelled_vFinal WHERE date = 2007
Data Use Score of Tajikistan in 2012.,SELECT data_use_score FROM spi_index_labelled_vFinal WHERE country = 'Tajikistan' AND date = 2012
Countries having ODIN Open Data Openness Score between 0.0 and 0.2.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.2
average of Population & Housing census.,SELECT avg(population_&_housing_census) FROM spi_index_labelled_vFinal
List of minimum Administrative Data by region.,"SELECT min(administrative_data), region FROM spi_index_labelled_vFinal GROUP BY region"
Classification of household consumption of Ukraine after 2016.,SELECT classification_of_household_consumption FROM spi_index_labelled_vFinal WHERE date > 2016 AND country ='Ukraine'
Data Releases of Kyrgyz Republic before 2014?,SELECT data_releases FROM spi_index_labelled_vFinal WHERE date < 2014 AND country = 'Kyrgyz Republic'
Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1 of Lao PDR after 2019?,SELECT finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1 FROM spi_index_labelled_vFinal WHERE date > 2019 AND country ='Lao PDR'
average of income in Latin America & Caribbean in 2006,SELECT avg(income) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2006
maximum of System of national accounts in use in Europe & Central Asia?,SELECT max(system_of_national_accounts_in_use) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Countries having Terms of Use Score between 0.3 and 0.5 in 2007.,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.3 AND terms_of_use_score < 0.5 AND date = 2007
count of SDDS/e-GDDS subscription in North America.,SELECT count(sdds/e-gdds_subscription) FROM spi_index_labelled_vFinal WHERE region = 'North America'
Countries having Terms of Use Score between 0.0 and 0.1,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.0 AND terms_of_use_score < 0.1
minimum of Peace and Justice Strong Institutions in East Asia & Pacific,SELECT min(peace_and_justice_strong_institutions) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
Countries having Data Sources Score between 12 and 13.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 12 AND data_sources_score < 13
Non_Proprietary format Score and Data Sources Score of Ghana since 2018.,"SELECT non_proprietary_format_score , data_sources_score FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'Ghana'"
Countries having Data Products Score between 15 and 15 in 2008,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 15 AND data_products_score < 15 AND date = 2008
Find the maximum of Agriculture census in North America.,SELECT max(agriculture_census) FROM spi_index_labelled_vFinal WHERE region = 'North America'
minimum of Labor Force Survey in 2008,SELECT min(labor_force_survey) FROM spi_index_labelled_vFinal WHERE date = 2008
List Countries having Machine Readability Score between 0.1 and 0.7 in 2008.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.7 AND date = 2008
"List of Industry, Innovation and Infrastructure of Vietnam after 2018.",SELECT industry_innovation_and_infrastructure FROM spi_index_labelled_vFinal WHERE date > 2018 AND country ='Vietnam'
minimum of Business/establishment survey in Sub-Saharan Africa.,SELECT min(business/establishment_survey) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
count Sustainable Cities and Communities by region?,"SELECT count(sustainable_cities_and_communities), region FROM spi_index_labelled_vFinal GROUP BY region"
Find the Countries having Non_Proprietary format Score between 0.2 and 0.3 in 2009.,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.2 AND non_proprietary_format_score < 0.3 AND date = 2009
List of total Reduced Inequality by region.,"SELECT sum(reduced_inequality), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Download Options Score between 0.2 and 0.3 in 2005?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.2 AND download_options_score < 0.3 AND date = 2005
Business/establishment census of Honduras in 2007,SELECT business/establishment_census FROM spi_index_labelled_vFinal WHERE country = 'Honduras' AND date = 2007
Top 38 countries by iso3c.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'iso3c' DESC LIMIT 38
Countries having ODIN Open Data Openness Score between 0.4 and 0.6 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.4 AND odin_open_data_openness_score < 0.6 AND date = 2013
Affordable and Clean Energy of Hungary before 2012,SELECT affordable_and_clean_energy FROM spi_index_labelled_vFinal WHERE date < 2012 AND country = 'Hungary'
Countries having Data Products Score between 9 and 9 in 2007?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 9 AND data_products_score < 9 AND date = 2007
Data Products Score of Kosovo in 2011,SELECT data_products_score FROM spi_index_labelled_vFinal WHERE country = 'Kosovo' AND date = 2011
Countries having Data Sources Score between 42 and 98 in 2014?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 42 AND data_sources_score < 98 AND date = 2014
What is the count Labor force participation rate by sex and age by region,"SELECT count(labor_force_participation_rate_by_sex_and_age), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Service Score between 10 and 15,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 10 AND data_service_score < 15
What is the average of Central government accounting status in 2008,SELECT avg(central_government_accounting_status) FROM spi_index_labelled_vFinal WHERE date = 2008
weights of Vietnam before 2012?,SELECT weights FROM spi_index_labelled_vFinal WHERE date < 2012 AND country = 'Vietnam'
total of Environmental Statistics.,SELECT sum(environmental_statistics) FROM spi_index_labelled_vFinal
Find the count Agriculture survey by region?,"SELECT count(agriculture_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
minimum of Partnerships to achieve the Goal,SELECT min(partnerships_to_achieve_the_goal) FROM spi_index_labelled_vFinal
Countries having Download Options Score between 0.0 and 0.1,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.1
Countries having Terms of Use Score between 0.1 and 0.5 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.1 AND terms_of_use_score < 0.5 AND date = 2013
Administrative Data of Dominican Republic before 2014.,SELECT administrative_data FROM spi_index_labelled_vFinal WHERE date < 2014 AND country = 'Dominican Republic'
Top 67 countries by iso3c?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'iso3c' DESC LIMIT 67
NADA metadata of Monaco before 2012?,SELECT nada_metadata FROM spi_index_labelled_vFinal WHERE date < 2012 AND country = 'Monaco'
Data Use Score of American Samoa in 2005.,SELECT data_use_score FROM spi_index_labelled_vFinal WHERE country = 'American Samoa' AND date = 2005
count of Responsible Consumption and Production in Sub-Saharan Africa in 2014.,SELECT count(responsible_consumption_and_production) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2014
count of Climate Action,SELECT count(climate_action) FROM spi_index_labelled_vFinal
maximum of Censuses only.,SELECT max(censuses_only) FROM spi_index_labelled_vFinal
SPI Overall Score of Ghana in 2010.,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Ghana' AND date = 2010
income of Djibouti in 2014.,SELECT income FROM spi_index_labelled_vFinal WHERE country = 'Djibouti' AND date = 2014
"System of national accounts in use and Household Survey on income, etc of Australia since 2018.","SELECT system_of_national_accounts_in_use , household_survey_on_income_etc FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'Australia'"
CPI base year of Marshall Islands after 2014.,SELECT cpi_base_year FROM spi_index_labelled_vFinal WHERE date > 2014 AND country ='Marshall Islands'
Non_Proprietary format Score and SPI Overall Score of Gabon since 2007.,"SELECT non_proprietary_format_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Gabon'"
SPI Overall Score and Machine Readability Score of Luxembourg since 2009.,"SELECT spi_overall_score , machine_readability_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Luxembourg'"
Find the count Good Health and Well-being by region.,"SELECT count(good_health_and_well-being), region FROM spi_index_labelled_vFinal GROUP BY region"
"Population & Housing census and Decent Work and Economic Growth of Hong Kong SAR, China since 2007","SELECT population_&_housing_census , decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Hong Kong SAR, China'"
List maximum of SDDS/e-GDDS subscription in 2004?,SELECT max(sdds/e-gdds_subscription) FROM spi_index_labelled_vFinal WHERE date = 2004
Central government accounting status of India in 2013.,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE country = 'India' AND date = 2013
"Top 60 countries by Industry, Innovation and Infrastructure",SELECT country FROM spi_index_labelled_vFinal ORDER BY 'industry_innovation_and_infrastructure' DESC LIMIT 60
"List minimum of Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME in Europe & Central Asia in 2012",SELECT min(availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2012
Countries having Data Sources Score between 33 and 33 in 2005,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 33 AND data_sources_score < 33 AND date = 2005
total Compilation of government finance statistics by region.,"SELECT sum(compilation_of_government_finance_statistics), region FROM spi_index_labelled_vFinal GROUP BY region"
Top 29 countries by Surveys only?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'surveys_only' DESC LIMIT 29
Labor force participation rate by sex and age of Trinidad and Tobago before 2010.,SELECT labor_force_participation_rate_by_sex_and_age FROM spi_index_labelled_vFinal WHERE date < 2010 AND country = 'Trinidad and Tobago'
Countries having Download Options Score between 0.1 and 0.2 in 2007?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.2 AND date = 2007
Show me Data Use Score of Denmark in 2019,SELECT data_use_score FROM spi_index_labelled_vFinal WHERE country = 'Denmark' AND date = 2019
Tell me the income of Tajikistan after 2019?,SELECT income FROM spi_index_labelled_vFinal WHERE date > 2019 AND country ='Tajikistan'
Countries having Machine Readability Score between 0.4 and 0.9 in 2013,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.4 AND machine_readability_score < 0.9 AND date = 2013
weights and Agriculture census of Malaysia since 2009?,"SELECT weights , agriculture_census FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Malaysia'"
List of Clean Water and Sanitation of Gibraltar before 2006.,SELECT clean_water_and_sanitation FROM spi_index_labelled_vFinal WHERE date < 2006 AND country = 'Gibraltar'
Countries having SPI Overall Score between 12 and 19 in 2018?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 12 AND spi_overall_score < 19 AND date = 2018
Machine Readability Score of Singapore in 2008?,SELECT machine_readability_score FROM spi_index_labelled_vFinal WHERE country = 'Singapore' AND date = 2008
List Countries having Non_Proprietary format Score between 0.2 and 0.4?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.2 AND non_proprietary_format_score < 0.4
Countries having Data Use Score between 34 and 71 in 2006?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 34 AND data_use_score < 71 AND date = 2006
Countries having Data Sources Score between 4 and 42?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 4 AND data_sources_score < 42
Countries having Data Use Score between 1 and 7?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 1 AND data_use_score < 7
Geospatial data available at 1st Admin Level of Equatorial Guinea before 2017,SELECT geospatial_data_available_at_1st_admin_level FROM spi_index_labelled_vFinal WHERE date < 2017 AND country = 'Equatorial Guinea'
Classification of household consumption of Azerbaijan in 2007?,SELECT classification_of_household_consumption FROM spi_index_labelled_vFinal WHERE country = 'Azerbaijan' AND date = 2007
average of National Accounts base year in 2006?,SELECT avg(national_accounts_base_year) FROM spi_index_labelled_vFinal WHERE date = 2006
Find the Countries having Download Options Score between 0.0 and 0.3?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.3
Find the Central government accounting status of Tanzania in 2013.,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE country = 'Tanzania' AND date = 2013
What is the Non_Proprietary format Score and Data Sources Score of South Africa since 2005?,"SELECT non_proprietary_format_score , data_sources_score FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'South Africa'"
Countries having Data Infrastructure Score between 57 and 88 in 2016,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 57 AND data_infrastructure_score < 88 AND date = 2016
Non_Proprietary format Score and ODIN Open Data Openness Score of Peru since 2012.,"SELECT non_proprietary_format_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Peru'"
Find the Terms of Use Score of Thailand in 2006.,SELECT terms_of_use_score FROM spi_index_labelled_vFinal WHERE country = 'Thailand' AND date = 2006
Good Health and Well-being of Zambia after 2017,SELECT good_health_and_well-being FROM spi_index_labelled_vFinal WHERE date > 2017 AND country ='Zambia'
Find the SPI Overall Score of Madagascar in 2013.,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Madagascar' AND date = 2013
Institutional Statistics of Andorra before 2012,SELECT institutional_statistics FROM spi_index_labelled_vFinal WHERE date < 2012 AND country = 'Andorra'
maximum of Compilation of government finance statistics.,SELECT max(compilation_of_government_finance_statistics) FROM spi_index_labelled_vFinal
Business process and Availability of Comparable Poverty headcount ratio at 1.90 a day of Malaysia since 2012,"SELECT business_process , availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Malaysia'"
minimum of Social Statistics?,SELECT min(social_statistics) FROM spi_index_labelled_vFinal
Find the Classification of status of employment of Ireland in 2014?,SELECT classification_of_status_of_employment FROM spi_index_labelled_vFinal WHERE country = 'Ireland' AND date = 2014
Top 36 countries by Population & Housing census,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'population_&_housing_census' DESC LIMIT 36
Show me Surveys only of Azerbaijan in 2007,SELECT surveys_only FROM spi_index_labelled_vFinal WHERE country = 'Azerbaijan' AND date = 2007
Find the Download Options Score of Bosnia and Herzegovina in 2013,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Bosnia and Herzegovina' AND date = 2013
Countries having Non_Proprietary format Score between 0.0 and 0.1?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.1
List of maximum of Decent Work and Economic Growth in Sub-Saharan Africa in 2006.,SELECT max(decent_work_and_economic_growth) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2006
"Population & Housing census of Congo, Dem. Rep. in 2012","SELECT population_&_housing_census FROM spi_index_labelled_vFinal WHERE country = 'Congo, Dem. Rep.' AND date = 2012"
total Classification of household consumption by region?,"SELECT sum(classification_of_household_consumption), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Infrastructure Score between 58 and 58 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 58 AND data_infrastructure_score < 58 AND date = 2013
minimum of NADA metadata?,SELECT min(nada_metadata) FROM spi_index_labelled_vFinal
Countries having Download Options Score between 0.1 and 0.3?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.3
Legislation Indicator based on PARIS21 indicators on SDG 17.18.2 of Montenegro in 2005?,SELECT legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2 FROM spi_index_labelled_vFinal WHERE country = 'Montenegro' AND date = 2005
Show me Countries having Metadata Available Score between 0.1 and 0.3 in 2010,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.1 AND metadata_available_score < 0.3 AND date = 2010
maximum of Safely Managed Drinking Water in Latin America & Caribbean in 2013,SELECT max(safely_managed_drinking_water) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2013
